utilization_ratio,instruction_count,placement_profile,trials,ia_mean,ia_ci_low,ia_ci_high,rsr,rsr_ci_low,rsr_ci_high,effectiveness_mean,effectiveness_ci_low,effectiveness_ci_high,format_error_rate,error_rate,median_latency_ms
0.1,1,front,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0,1.0,1.0,0.0,0.0,0.008450500899925828
0.1,1,uniform,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0,1.0,1.0,0.0,0.0,0.006606001988984644
0.1,1,edges,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0,1.0,1.0,0.0,0.0,0.006467991624958813
0.1,2,front,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0,1.0,1.0,0.0,0.0,0.007133494364097714
0.1,2,uniform,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0,1.0,1.0,0.0,0.0,0.007116992492228746
0.1,2,edges,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0,1.0,1.0,0.0,0.0,0.007198992534540594
0.1,4,front,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0,1.0,1.0,0.0,0.0,0.008201997843571007
0.1,4,uniform,10,1.0,0.7224598312333834,1.0,1.0,0.7224598312333834,1.0,1.0,1.0,1.0,0.0,0.0,0.007871509296819568
0.1,4,edges,10,0.9,0.3126695474501863,0.8318224187964902,0.6,0.3126695474501863,0.8318224187964902,0.96,0.93,0.99,0.0,0.0,0.007501483196392655
0.1,8,front,10,0.9875,0.5958436145024278,0.9821242504842788,0.9,0.5958436145024278,0.9821242504842788,0.995,0.985,1.0,0.0,0.0,0.009116512956097722
0.1,8,uniform,10,0.9,0.16817758120350962,0.6873304525498136,0.4,0.16817758120350962,0.6873304525498136,0.95625,0.9237500000000001,0.98125,0.0,0.0,0.008377493941225111
0.1,8,edges,10,0.9625,0.39677321997956516,0.892210712513788,0.7,0.39677321997956516,0.892210712513788,0.985,0.97,1.0,0.0,0.0,0.008395494660362601
0.1,16,front,10,0.9875,0.49015684672072335,0.9433190520193067,0.8,0.49015684672072335,0.9433190520193067,0.993125,0.98375,1.0,0.0,0.0,0.010110510629601777
0.1,16,uniform,10,0.98125,0.39677321997956516,0.892210712513788,0.7,0.39677321997956516,0.892210712513788,0.9924999999999999,0.985,0.9974999999999999,0.0,0.0,0.009967989171855152
0.1,16,edges,10,0.9625,0.23658959361548731,0.7634104063845126,0.5,0.23658959361548731,0.7634104063845126,0.985,0.975,0.9949999999999999,0.0,0.0,0.010549003491178155
