utilization_ratio,instruction_count,placement_profile,trials,ia_mean,ia_ci_low,ia_ci_high,rsr,rsr_ci_low,rsr_ci_high,effectiveness_mean,effectiveness_ci_low,effectiveness_ci_high,format_error_rate,error_rate,median_latency_ms
0.1,1,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1206.1084629967809
0.1,1,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,652.310010016663
0.1,8,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,871.3344179850537
0.1,8,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1127.6720199966803
0.1,16,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1741.655206977157
0.1,16,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1597.001355024986
0.55,1,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,893.0435049987864
0.55,1,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,970.6582000071649
0.55,8,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1426.139499002602
0.55,8,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1297.1832070033997
0.55,16,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1436.2938870035578
0.55,16,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1615.0728870125022
0.8,1,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1295.669295010157
0.8,1,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1099.1509049781598
0.8,8,uniform,3,0.6666666666666666,0.20765495512648796,0.9385096847238394,0.6666666666666666,0.20765495512648796,0.9385096847238394,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,1832.0700830081478
0.8,8,edges,3,0.6666666666666666,0.20765495512648796,0.9385096847238394,0.6666666666666666,0.20765495512648796,0.9385096847238394,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,1570.4288780107163
0.8,16,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,2188.5288250050507
0.8,16,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1690.672197000822
0.93,1,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1316.091247019358
0.93,1,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1355.3761259827297
0.93,8,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1459.9891469988506
0.93,8,edges,3,0.6666666666666666,0.20765495512648796,0.9385096847238394,0.6666666666666666,0.20765495512648796,0.9385096847238394,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,1657.7018669922836
0.93,16,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,2538.810132013168
0.93,16,edges,3,0.6666666666666666,0.20765495512648796,0.9385096847238394,0.6666666666666666,0.20765495512648796,0.9385096847238394,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,2185.87311898591
