utilization_ratio,instruction_count,placement_profile,trials,ia_mean,ia_ci_low,ia_ci_high,rsr,rsr_ci_low,rsr_ci_high,effectiveness_mean,effectiveness_ci_low,effectiveness_ci_high,format_error_rate,error_rate,median_latency_ms
0.1,1,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,2429.791682981886
0.1,1,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1472.1838450059295
0.1,8,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,3271.986759995343
0.1,8,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,4346.143842005404
0.1,16,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,6254.049114999361
0.1,16,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,6184.644182008924
0.55,1,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,4006.2571369926445
0.55,1,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,8502.980988996569
0.55,8,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,7803.144042001804
0.55,8,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,7028.279374993872
0.55,16,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,12551.434149994748
0.55,16,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,15929.853501002071
0.8,1,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,5592.04503899673
0.8,1,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,5310.369913000613
0.8,8,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,9936.309794022236
0.8,8,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,12557.368182984646
0.8,16,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,16231.913195020752
0.8,16,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,14352.259291015798
0.93,1,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1060.1385310001206
0.93,1,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,1306.3451159978285
0.93,8,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,9204.34816298075
0.93,8,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,11352.370089996839
0.93,16,uniform,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,17799.660591990687
0.93,16,edges,3,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,1.0,1.0,0.0,0.0,13365.535024000565
